title,clinicalBasic,articleType,authorName,linkToFullText,articleYear,analyst,NumberWordsInTitle,NumberWordsInArticle,soFarAsIsKnownIKnow,isItTooMuchToAssumeThat,appear,appearToMe,appears,appearsToMe,believing,ICannotStateWithCertainty,WeCannotExclude,ICannotHelpThinking,doNotAppear,doesNotAppear,doesNotSeem,doNotSeem,Expected,IamWeareInclinedToThinkOneIsTemptedToThink,IAmNotAware,IAmNotQuiteSure,IBelieve,ItIsGenerallyUsuallyBelieved,IConsider,IWeDoNotEvenKnowWhether,IDoNotSuppose,IDoNotThink ,ToDoubt,IFeelConfident,IfIRememberRightly,IQuiteImagine,IWish ,I/WeHope,WeNowWonder,IHoldThat,IThink,ITrust,oneHopes,doesNotSuggest,suggests,suggesting,supposeItIsSupposed,supposing,thereIsReasonToDoubt,IVentureToThink,weBelieve ,weAreJustifiedInAssumingThat,weAreJustifiedInBelievingThat,weAreJustifiedInReckoningThat,weAreSeldomSuspicious,weHaveThereforeReasonToHope,weThink,weDoNotBelieveThat,weHaveEveryReasonToBelieve,factsAreSufficientToInduceUsToBelieve,ledMeToBelieve,looks,thereIsReasonToBelieve,seem,seems,AreThoughtToBe,ItIsHoped,TOTLexicalPACLIsInArticleVerbsButNotModalVerbs,accordingToMyView,accordingToHypothesis,almostCertainCertainly,apparently,apparent,asInOpinion,believed,thereIsReasonForTheBelief,Conceivably,doubtIAmInDoubtThereIsSomeDoubt,doubtfulSuspected,veryDoubtful,forMyOwnPart,fromOwnExperienceSoFarAsMyExperienceGoes,greatProbability,impression,Improbably,inAppearance,inExperience,inMyOwnOurOpinionJudgementBelief/view,IAmFurtherOfOpinionThat,InTheHopeThat,moreProbably,ItIsMyView,itIsNotImprobableThat,mostImprobable,itIsReasonableToSuppose/Assume,itIsPerhapsReasonableToSuppose,itIsDifficult Too ToSee/thinkHow/of,ToMyKnowledge,likely,lessLikely,likelihood,muchMoreLikely,notMuchEvidence,moreLikely,moreProbable,mostLikely,MyPointIsThat,OpinionIs,noDirectEvidence,notQuiteClearToMe,nothingActuallyCertainIs,QuiteObvious,notLikely,notVeryLikely,itIsImpossibleToBeSure,myOwnOpinion,inOurExperience,perhaps,personally,possibility,possible,quitePossible,possibly,presumably,prettyCertainly,Probability,soFarAsIsKnown,probable,extremelyProbable,moreThanProbable,highlyProbable,veryProbable,probably,quiteNoCertain,seemingly,speakingFormyself,supposition,supposed,suspicionConjecture,thereIsLittleEvidence,thereIsNoEvidenceWeHaveNoEvidence,toMindtoOurMinds,unlikely ,notUnlikely,veryImprobable,veryUnlikely,uncertainty,unclear ,TOTLexicalPACLIsinArticleNonVerbs,can,may,mayNot,must,mustNot,TOTLexicalPACLIsModalVerbs,could,couldNot,couldNo,might,mightNot,should,shouldNot,would,wouldNo,wouldNot,ought,oughtNot,TOTMorpho-syntacticPACLIsInArticleConditionalMood ,epistemic future,TOTEpistemicFutureEU,asThough,asIf,whether,if_zuko,IFCLAUSESPeriodoIpoteticoThanPrimoSecondoTerzoGrado,ImplicitIfClauses,TOTMorpho-syntacticPACLIsInArticleIfAsIfWhether
"Effect of comorbidities and postoperative complications on mortality
after hip fracture in elderly people: prospective observational cohort
study",clinical,original,J J W Roche  R T Wenn  O Sahota  C G Moran,http://www.bmj.com/content/331/7529/1374.full.pdf,2005,tutti,18,3879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1
Effects of flying on patients with cardiovascular disease.,clinical,original,G. Bourne,http://goo.gl/uDnfR,1955,Ramona-Luciana,8,3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,3,0,0,0,7,0,0,0,1,0,3,1,3,0,0,0,0,8,0,0,0,0,1,0,1,0,2
Foot-and-mouth Disease in Man.,clinical,review,Leading articles,http://goo.gl/nZNPJ,1967,Ilaria-Davide,4,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,4,0,0,0,4,0,3,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1
Guanethidine in the treatment of hypertension.,clinical,original,C.P. Lowther  R.W.D. Turner,http://goo.gl/IdMgA,1963,Mina-Gabriele,6,4969,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,8,0,1,0,19,1,0,0,1,0,2,0,6,0,0,0,0,10,0,0,0,0,1,0,0,0,1
Hay-fever.,clinical,letter,J.Bird,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2326434/pdf/brmedj05875-0021a.pdf,1865,Carla-Cinzia,1,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immunization during pregnancy to the kidd (Jka) red-cell antigen.,clinical,original,J.P.Bailey et. al.,http://goo.gl/Khepy,1959,Ilaria-Davide,9,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,1
Increased bacterial antibody titres- and IgA deficiency in epileptic patients.,clinical,short report,IIVANAINEN  SYRJANEN  WALTIMO  VALTONEN ,http://goo.gl/yyrxq,1987,Andrzej-Adriana,10,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infantile paralysis. A clinical study.,clinical,original,J.M. Gill,http://goo.gl/dQb7A,1926,Ramona-Luciana,5,4155,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,7,22,0,2,0,31,1,0,0,1,0,6,1,2,0,0,0,0,11,0,0,0,0,1,0,2,0,3
Investigation and results of treatment of 1 000 cases of vaginal discharge.,clinical,original,O. LLoyd,http://goo.gl/T6z57,1945,Ramona-Luciana,11,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1
Local blood-letting in inflammation.,clinical,original,T. Inman,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2252445/pdf/brmedj06142-0005b.pdf,1859,Mina-Gabriele,4,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Lung cancer and other causes of death in relation to smoking.,clinical,original,R. Doll  A. Bradford Hill,http://goo.gl/ZoeJl,1956,Mina-Gabriele,11,12476,0,0,1,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,2,0,0,22,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,5,1,0,5,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,5,0,1,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,50,11,29,0,4,0,44,5,1,0,13,0,5,0,22,0,4,0,0,50,0,0,0,0,0,0,11,0,11
Maternal vitamin D intake and mineral metabolism in mothers and their newborn infants.,clinical,original,F. Cockburn et.al.,http://goo.gl/Tp9cj,1980,Ramona-Luciana,13,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,4,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,3
Medical and surgical work as a prisoner of war.,clinical,original,A.T.I. Macdonald,goo.gl/UqMJP,1919,Ilaria-Davide,9,3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,3,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1
New methods of studying affection of the heart.,basic,original,J. Mackensie,goo.gl/97t8K,1905,Ilaria-Davide,8,3711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,0,0,0,15,0,0,0,5,0,1,0,1,0,0,0,0,7,0,0,0,0,1,0,2,0,3
Non-melanoma skin cancer.,clinical,review,I. Harvey  D.Shalom  R.M.Marks  S.J.Frankel,http://goo.gl/FWfJr,1989,Carla-Cinzia,3,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,18,1,11,1,0,0,13,1,0,0,1,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Notes on the pathology and treatment of cholera.,clinical,review,G. Johnson,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2326590/pdf/brmedj05890-0001.pdf,1865,Ramona-Luciana,8,1437,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,9,0,0,0,1,0,2,0,4,0,0,1,0,8,0,0,0,0,0,0,2,0,2
Observation on scurvy  as it was developed in Bath and its neighbourhood.,clinical,original,J. Barrett,http://goo.gl/PxANV,1848,Carla-Cinzia,17,4700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,4,0,0,19,2,0,0,3,0,3,0,6,0,1,0,0,15,0,0,0,0,2,0,0,0,2
On a regulated temperature in the treatment of disease  etc.,clinical,original,A. Robertson,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2261936/pdf/brmedj05431-0005.pdf,1871,Ramona-Luciana,10,2933,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,1,0,0,11,1,0,0,4,2,0,0,5,0,0,1,0,13,0,0,0,0,1,0,4,0,5
On revaccination.,clinical,original,J.A. Hingeston,goo.gl/lyRci,1853,Ramona-Luciana,2,2778,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,16,2,0,0,19,1,0,0,5,0,3,0,3,0,0,1,0,13,0,0,0,0,0,0,6,0,6
On the actions of picrotoxine  and the antagonist between picrotoxine and chloral hydrate.,basic,original ,J. Crichton Browne,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2297492/pdf/brmedj04567-0006.pdf,1875,tutti,13,4277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,0,9,0,0,0,1,0,4,0,7,0,0,3,0,15,0,0,0,1,0,0,3,0,4
On the cause and prevention of death from chloroform.,clinical,original,J. Snow,goo.gl/FkIrc,1852,Ilaria-Davide,9,4909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,2,0,5,2,1,0,2,0,1,0,8,0,0,0,0,14,0,0,0,1,1,0,2,0,4
On the importance of rest in the treatment of acute phthisis.,clinical,review,H. Johnstone Campbell,http://goo.gl/K8U07,1897,Andrzej-Adriana,11,1216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
On the use of small doses of opium in the act of dying from phthisis.,clinical,original,J. Bullar,goo.gl/5I5El,1856,Andrzej-Adriana,15,1258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Oral Contraceptives and myocardial Infarction.,clinical,original,M.F. Oliver,http://goo.gl/Lfjms,1970,Andrzej-Adriana,5,2636,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,5,0,0,0,6,3,0,0,3,0,7,0,1,0,0,0,0,14,0,0,0,0,3,1,1,0,5
Perforated gastric ulcer: operation 44 hours after perforation recovery.,clinical,original,A.C. Roper,goo.gl/2kqsh,1908,Ramona-Luciana,8,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Prognosis in  severe shock.,clinical,original,I. M.C.A. Ledingham B.N. Cowan H.J.G. Burns,http://goo.gl/ploqv,1982,Ilaria-Davide,4,905,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,1,0,0,2,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,1
Prognosis of Crohns disease.,clinical,,leading article,http://goo.gl/iIOYW,1981,Ramona-Luciana,4,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Progression of HIV disease in homophilic cohort followed for 11 years and the effect of treatment.,clinical,original ,Lee  Phillips  Elford  Janossy  Griffiths  Kernoff,http://goo.gl/gcCSw,1991,tutti,17,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,8,0,0,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Psychopathic states and attempted suicide.,clinical,original,I.R.C. Batchelor,http://goo.gl/VJcSL,1954,Carla-Cinzia,5,5359,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,32,1,0,0,37,1,0,0,7,0,1,0,3,0,0,0,0,12,0,0,0,0,1,0,0,0,1
